PRN,Toc,af0,af1,af2,IODE,Crs,Delta_n,M0,Cuc,e,Cus,Asqrt,Toe,Cic,OMEGA,Cis,i0,Crc,omega,OMEGA_DOT,IDOT,codeL2,GPS_Week,L2Pdata,accuracy,health,TGD,IODC,ttx,Fit_interval
19,417618,0.000278605148196,5.11590769747e-12,0,41,145.46875,3.96516516505e-09,-2.54301698332,7.60518014431e-06,0.00910462823231,6.45406544209e-06,5153.61381531,417600,-7.45058059692e-09,-3.09501527885,1.15483999252e-07,0.974912661323,262.96875,2.24104087603,-7.78853870961e-09,6.60741808263e-11,1,2249,0,2,0,-1.53668224812e-08,41,416509,4
20,417618,0.000450301915407,-2.38742359215e-12,0,9,-145.0625,4.77555606394e-09,0.296737214787,-7.43940472603e-06,0.00445263227448,4.95091080666e-06,5153.75418472,417600,1.26659870148e-07,-1.27255733736,8.19563865662e-08,0.946816553041,279.09375,-2.91379083778,-8.4046358011e-09,-1.08575951196e-10,1,2249,0,2,0,-8.38190317154e-09,9,410486,4
21,417618,0.000154039822519,2.27373675443e-13,0,79,31.6875,4.52983154281e-09,1.58156623753,1.45845115185e-06,0.0248584273504,-3.52039933205e-07,5153.65595627,417600,4.17232513428e-07,-2.2393541622,1.62050127983e-07,0.961433869568,374.40625,-0.814441928067,-8.19141263379e-09,-2.067943281e-10,1,2249,0,2,0,-1.02445483208e-08,79,413707,4
22,417618,0.000428398605436,7.73070496507e-12,0,119,-34.375,4.35089551798e-09,1.38319817402,-1.80490314961e-06,0.0139401613269,1.0484829545e-05,5153.60076523,417600,-3.24100255966e-07,0.0229750699182,-2.45869159698e-07,0.962754024398,179.5,-1.82721936387,-7.92032991353e-09,5.8216710674e-10,1,2249,0,2,63,-7.91624188423e-09,119,410418,4
23,417618,6.45127147436e-06,1.70530256582e-12,0,203,-136,4.04695428618e-09,-1.49483931456,-7.07432627678e-06,0.00300391227938,5.76116144657e-06,5153.65049744,417600,-9.12696123123e-08,-1.13595523463,-9.12696123123e-08,0.972253216695,276.96875,-3.09889805215,-7.85532720591e-09,-6.82171272314e-11,1,2249,0,2,0,-8.38190317154e-09,715,410418,4
24,417618,-7.65402801335e-05,-1.5916157281e-11,0,120,15.5625,5.67880797372e-09,-0.308643218926,9.49949026108e-07,0.0137266819365,6.25848770142e-06,5153.64983749,417600,2.421438694e-08,0.901049966999,1.71363353729e-07,0.933946636569,248.09375,0.885477859433,-8.64786021809e-09,2.22509268404e-10,1,2249,0,2.8,0,2.32830643654e-09,120,410418,4
25,417618,0.000420668162405,3.18323145621e-12,0,33,22.3125,4.74055460599e-09,-2.07715053373,1.12876296043e-06,0.0111543339444,9.24617052078e-06,5153.77317619,417600,1.09896063805e-07,2.02373213565,-6.33299350738e-08,0.953688246452,196.34375,1.03048766251,-7.82211153663e-09,-4.92163357722e-10,1,2249,0,2,0,5.58793544769e-09,33,410418,4
26,417618,0.000241548754275,3.41060513165e-13,0,92,11.84375,5.22771775543e-09,-2.86010215974,5.28991222382e-07,0.00786165776663,9.17725265026e-06,5153.63968468,417600,-1.04308128357e-07,1.96990290629,-1.02445483208e-07,0.93444967558,189.84375,0.448608919962,-8.13819613139e-09,-5.35736601294e-10,1,2249,0,2,0,6.98491930962e-09,92,410418,4
27,417618,0.000100810080767,-8.98126018001e-12,0,72,112.25,4.15088718683e-09,1.64906494563,5.91017305851e-06,0.0113410946215,8.25896859169e-06,5153.67324638,417600,-2.51457095146e-07,3.07863297653,1.22934579849e-07,0.969251247353,226.84375,0.698639720394,-7.98283251702e-09,-9.35753263594e-11,1,2249,0,2,0,1.86264514923e-09,72,415818,4
28,417618,1.50767154992e-05,1.50066625793e-11,0,209,13.3125,4.93520557112e-09,-2.7690750315,5.86733222008e-07,0.00102296133991,6.07222318649e-06,5153.61416626,417600,2.04890966415e-08,0.95153501683,8.00937414169e-08,0.961502651588,258.65625,1.68061938347,-8.11783814054e-09,2.0429422396e-10,1,2249,0,2,63,-1.39698386192e-09,209,410418,4
